Timestamp,Open,High,Low,Close,Volume
2012-10-17,243.37,248.7999,243.3,12.3745,3302700
2012-10-18,247.77,250.91,242.7,12.2425,5305300
2012-10-19,245.16,246.82,238.94,12.0,4395300
2012-10-22,238.81,238.95,232.32,11.689,4500000
2012-10-23,231.05,236.5,230.01,11.7155,4430800
2012-10-24,235.88,235.94,227.9501,11.4245,3678700
2012-10-25,230.92,230.92,222.92,11.146,6741300
2012-10-26,228.6001,238.71,226.69,11.912,11367500
2012-10-31,236.32,238.7,230.5,11.644655,4797600
2012-11-01,234.23,234.55,231.34,11.607,3905100
2012-11-02,234.01,237.4,232.11,11.62112,3374700
2012-11-05,232.04,234.83,230.11,11.7165,1846100
2012-11-06,235.41,237.75,234.45,11.878,2661300
2012-11-07,235.65,235.66,229.42,11.60304,3624200
2012-11-08,232.22,233.45,227.1,11.3675,2982400
2012-11-09,226.26,230.97,224.6002,11.3155,3092500
2012-11-12,226.59,229.2199,225.41,11.3235,2128800
2012-11-13,225.12,227.9,224.71,11.33,2629800
2012-11-14,226.5,227.41,222.51,11.1475,3034100
2012-11-15,222.3,225.16,218.18,11.02995,3404700
2012-11-16,221.31,226.25,218.64,11.2615,4352800
2012-11-19,228.32,232.5,227.45,11.4855,3591200
2012-11-20,230.0,233.82,229.5,11.689,2771700
2012-11-21,233.84,238.67,232.75,11.9015,2959300
2012-11-23,239.89,240.0,236.48,11.994,1776800
2012-11-26,240.39,244.319,238.0,12.181,4178300
2012-11-27,243.22,245.67,241.54,12.170085,3048500
2012-11-28,242.45,247.23,241.504,12.3555,2743400
2012-11-29,248.05,252.48,247.5,12.5635,5310500
2012-11-30,250.38,252.65,248.27,12.6025,3797400
2012-12-03,252.54,254.16,250.0,12.516455,2990600
2012-12-04,249.94,253.0,248.66,12.624405,3114700
2012-12-05,252.44,255.55,250.38,12.698,2852200
2012-12-06,253.0,255.17,251.51,12.6685,3557900
2012-12-07,254.14,255.21,252.01,12.663405,2170300
2012-12-10,253.1,254.78,247.3,12.3885,3503800
2012-12-11,248.5,253.48,246.65,12.5345,4185200
2012-12-12,251.07,254.36,250.06,12.588,2628100
2012-12-13,251.11,254.54,250.02,12.5625,2460200
2012-12-14,250.11,251.9,247.79,12.4595,2526900
2012-12-17,249.81,254.0,249.26,12.693,2277000
2012-12-18,254.57,263.11,254.57,13.02,4961000
2012-12-19,261.3,261.6699,257.68,12.8995,2300000
2012-12-20,258.36,262.41,256.54,13.075,2584600
2012-12-21,257.82,258.38,255.74,12.846,4704600
2012-12-24,257.3,259.5,256.96,12.931,984400
2012-12-26,257.15,257.42,248.04,12.43157,4152700
2012-12-27,248.28,249.35,242.86,12.4155,3639300
2012-12-28,245.85,247.44,245.05,12.259,1858700
2012-12-31,243.75,252.41,242.75,12.5435,3419000
2013-01-02,256.08,258.0999,253.26,12.8655,3271000
2013-01-03,257.27,260.88,256.37,12.924,2750900
2013-01-04,257.58,259.8,256.65,12.9575,1874200
2013-01-07,262.97,269.725,262.67,13.42296,4910000
2013-01-08,267.07,268.98,263.567,13.319,3010700
2013-01-09,268.17,269.5,265.401,13.3175,2265600
2013-01-10,268.54,268.74,262.3,13.267,2863400
2013-01-11,265.1,268.43,264.11,13.397,2413300
2013-01-14,268.0,274.26,267.54,13.6365,4275000
2013-01-15,270.68,272.73,269.3,13.595,2326900
2013-01-16,270.53,271.24,267.83,13.4465,2065600
2013-01-17,271.43,271.97,269.21,13.524,1884600
2013-01-18,270.83,274.5,269.6,13.606,2942000
2013-01-22,271.62,272.1,269.23,13.5095,2137700
2013-01-23,270.57,271.09,266.65,13.4055,2508900
2013-01-24,269.37,276.65,269.37,13.681,3417000
2013-01-25,275.0,284.72,274.4,14.1995,4968100
2013-01-28,283.78,284.48,274.4,13.802,4321400
2013-01-29,275.35,275.46,258.35,13.0175,10172600
2013-01-30,283.0,284.2,267.11,13.6382,13075400
2013-01-31,271.04,275.94,263.6991,13.275,6772100
2013-02-01,268.93,268.93,262.8,13.25,6115000
2013-02-04,262.78,264.684,259.07,12.999,3723600
2013-02-05,262.0,268.03,261.46,13.3445,4012900
2013-02-06,265.16,266.89,261.11,13.111,2770400
2013-02-07,264.1,264.1,255.11,13.0115,3975700
2013-02-08,261.4,265.25,260.555,13.0975,3879200
2013-02-11,263.2,263.25,256.6,12.8605,3403700
2013-02-12,259.19,260.16,257.0,12.935,2943700
2013-02-13,261.53,269.96,260.3,13.4735,5293000
2013-02-14,267.37,270.65,265.4,13.462,3463000
2013-02-15,267.63,268.92,263.11,13.2545,3979900
2013-02-19,265.91,270.11,264.5,13.4875,2854200
2013-02-20,270.2,274.3,266.371,13.3205,3528900
2013-02-21,265.12,269.48,263.25,13.297,3637400
2013-02-22,266.62,267.11,261.61,13.271,3124800
2013-02-25,266.94,268.694,259.65,12.9935,3032400
2013-02-26,260.89,262.04,255.73,12.968,3348600
2013-02-27,259.4,265.83,256.86,13.1625,2908100
2013-02-28,261.81,267.0,260.63,13.2135,2667200
2013-03-01,263.27,266.6,261.04,13.287,2957000
2013-03-04,265.36,273.3,264.14,13.6555,3453000
2013-03-05,274.0,276.68,269.99,13.7795,3686200
2013-03-06,275.76,276.489,271.832,13.6895,2050700
2013-03-07,274.1,274.8,271.85,13.694,1939000
2013-03-08,275.0,275.44,271.5,13.7095,1879800
2013-03-11,273.43,273.99,270.4,13.562,1904900
2013-03-12,271.0,277.4,270.3601,13.7065,3246200
2013-03-13,275.24,276.5,272.64,13.755,1884200
2013-03-14,269.67,270.0,263.53,13.287,5226700
2013-03-15,264.98,267.26,260.05,13.091,4865900
2013-03-18,259.3,261.49,257.12,12.8945,2720200
2013-03-19,258.4,259.5,252.62,12.8205,3738500
2013-03-20,258.05,259.76,254.5501,12.8639,2738900
2013-03-21,256.11,257.0,252.68,12.6695,2806400
2013-03-22,254.55,257.77,252.07,12.8875,3124600
2013-03-25,258.58,259.429,254.5,12.801,2513900
2013-03-26,257.05,261.48,256.28,13.0155,2421000
2013-03-27,258.75,265.93,257.9,13.265,2874900
2013-03-28,265.82,267.375,264.06,13.3245,2473700
2013-04-01,266.98,267.4,261.01,13.0805,2524800
2013-04-02,262.4,265.89,260.55,13.1661,2631100
2013-04-03,262.12,263.67,257.75,12.9515,2413800
2013-04-04,259.23,260.41,256.12,12.954,1964400
2013-04-05,255.72,256.18,253.67,12.774,2557400
2013-04-08,255.92,259.679,255.63,12.9475,2295600
2013-04-09,258.85,262.61,257.0,13.057,2156600
2013-04-10,261.78,265.98,259.32,13.2385,2322500
2013-04-11,264.74,270.97,264.74,13.4925,3090500
2013-04-12,270.12,273.27,267.02,13.6435,2866300
2013-04-15,271.08,275.12,267.1,13.386,3326000
2013-04-16,269.31,272.8,268.06,13.617,2137200
2013-04-17,270.8,270.85,264.25,13.37,3135100
2013-04-18,266.81,266.9899,256.6,12.971,3137600
2013-04-19,258.16,262.88,257.5,13.016,2602500
2013-04-22,259.35,264.6,258.03,13.1775,2119100
2013-04-23,264.5,269.87,264.5,13.445,2270600
2013-04-24,269.5,271.47,266.81,13.439,1852800
2013-04-25,271.53,275.8,270.5,13.735,6116500
2013-04-26,269.97,272.02,252.81,12.7405,14030000
2013-04-29,254.9,257.01,249.15,12.487,7117000
2013-04-30,249.3701,254.68,248.56,12.6905,4248800
2013-05-01,253.9,254.2,245.75,12.4115,4391400
2013-05-02,248.94,252.93,245.78,12.6275,3936200
2013-05-03,256.14,259.25,254.7,12.9025,3514000
2013-05-06,258.09,259.5,253.4201,12.786,2347800
2013-05-07,256.31,259.74,252.9101,12.8865,3133700
2013-05-08,256.87,260.295,255.334,12.934,2677000
2013-05-09,258.73,263.55,256.88,13.008,2769300
2013-05-10,260.88,263.65,260.21,13.1815,3145300
2013-05-13,262.77,265.88,262.0,13.2255,2149500
2013-05-14,264.5,269.4,264.028,13.4165,2700000
2013-05-15,267.07,269.05,264.56,13.328,2720500
2013-05-16,265.96,268.43,263.85,13.206,1643500
2013-05-17,265.83,269.98,265.0,13.495,2527300
2013-05-20,269.0,271.79,266.5,13.3815,2209000
2013-05-21,268.74,270.77,267.66,13.443,1741200
2013-05-22,267.39,267.59,260.8,13.148,3332000
2013-05-23,260.49,263.17,259.59,13.09,2000300
2013-05-24,259.85,261.93,258.34,13.087,1696300
2013-05-28,266.48,271.1,266.0,13.3645,3471000
2013-05-29,265.46,268.25,264.844,13.2765,1903400
2013-05-30,265.71,268.57,265.615,13.3415,1667500
2013-05-31,266.0,271.91,265.94,13.46,3374300
2013-06-03,268.96,269.11,262.95,13.344,2543900
2013-06-04,267.0,268.88,263.02,13.285,2088600
2013-06-05,265.81,271.66,265.02,13.3585,3512300
2013-06-06,267.75,270.5,264.21,13.3915,2476300
2013-06-07,269.74,280.1,269.13,13.8435,4632600
2013-06-10,276.68,282.47,275.24,14.0535,3086500
2013-06-11,276.0,278.411,274.24,13.739,3097800
2013-06-12,276.6,276.8,270.45,13.5835,2238900
2013-06-13,271.5,276.8,270.2901,13.7895,2649800
2013-06-14,275.0,277.07,273.442,13.6995,2150800
2013-06-17,276.35,280.2,275.65,13.903,2884000
2013-06-18,279.08,282.91,278.11,14.088,2146100
2013-06-19,281.26,283.34,277.87,13.908,2827500
2013-06-20,275.14,278.6,272.39,13.672,2984000
2013-06-21,274.57,275.8399,269.79,13.668,4201000
2013-06-24,271.29,273.16,265.0,13.5305,3863800
2013-06-25,272.3,273.47,269.0,13.6044,2449600
2013-06-26,273.98,277.98,273.5001,13.8785,3029500
2013-06-27,279.18,280.2,274.54,13.8775,2519500
2013-06-28,276.19,279.83,276.19,13.8845,3193300
2013-07-01,279.0,283.29,277.16,14.105,2888200
2013-07-02,281.04,286.58,280.59,14.1865,3238200
2013-07-03,282.6,285.4,282.0,14.2015,1373000
2013-07-05,285.0,286.3799,282.07,14.294,1985400
2013-07-08,286.42,291.67,286.14,14.5295,3046700
2013-07-09,291.0,292.57,288.01,14.5765,2775600
2013-07-10,291.41,293.34,289.4,14.6165,1810200
2013-07-11,294.99,300.69,292.1,14.983,4007300
2013-07-12,298.69,307.55,298.5,15.3775,4539300
2013-07-15,307.27,307.99,304.35,15.3285,2245600
2013-07-16,307.3,309.39,305.5119,15.3435,2660200
2013-07-17,306.97,308.8,305.69,15.4345,2029700
2013-07-18,306.27,306.3408,301.87,15.2055,3063800
2013-07-19,304.39,305.79,301.91,15.2615,2973100
2013-07-22,309.25,309.25,302.0,15.174,2520700
2013-07-23,303.16,305.06,300.56,15.053,1999600
2013-07-24,303.02,303.84,298.04,14.947,2000500
2013-07-25,299.0,304.5,296.75,15.17,5405800
2013-07-26,299.55,313.62,295.55,15.6005,8817500
2013-07-29,311.07,313.0,305.9,15.305,3211800
2013-07-30,307.72,309.7833,301.57,15.1205,3053400
2013-07-31,303.91,305.15,301.0,15.061,1891300
2013-08-01,303.08,306.21,298.905,15.2785,2971700
2013-08-02,304.63,305.33,301.5,15.2105,2502600
2013-08-05,303.4,303.62,298.3,15.0495,2233200
2013-08-06,300.51,301.36,297.52,15.0375,1849000
2013-08-07,300.15,300.99,296.15,14.8455,1961000
2013-08-08,298.52,298.52,292.5501,14.787,2343400
2013-08-09,295.68,299.27,294.2987,14.863,1950300
2013-08-12,295.79,299.08,295.26,14.8345,1504500
2013-08-13,295.88,296.37,290.67,14.6985,2349900
2013-08-14,294.29,294.29,290.54,14.567,1415000
2013-08-15,288.79,289.3,285.15,14.3235,2261400
2013-08-16,286.55,288.33,284.5,14.241,2422500
2013-08-19,285.19,289.56,283.48,14.2785,2477400
2013-08-20,285.88,289.515,285.74,14.3545,1586300
2013-08-21,285.09,288.5,283.83,14.2285,1815300
2013-08-22,284.8,289.87,284.8,14.4865,1422600
2013-08-23,291.21,291.5,287.9,14.5005,1961900
2013-08-26,290.43,291.0499,285.6207,14.3105,1711700
2013-08-27,283.87,285.28,279.74,14.0465,2476000
2013-08-28,280.36,283.0,279.33,14.079,1457100
2013-08-29,281.45,285.98,280.0,14.199,1566400
2013-08-30,284.59,284.87,280.0,14.049,1534700
2013-09-03,284.73,291.39,284.17,14.44,2897600
2013-09-04,288.33,295.23,287.58,14.682,2438600
2013-09-05,293.63,297.0,292.71,14.705,1816600
2013-09-06,295.33,298.88,290.8,14.793,2292000
2013-09-09,297.22,299.96,296.6,14.9855,1643600
2013-09-10,300.55,301.0,297.22,15.018,1778400
2013-09-11,298.91,301.86,297.84,14.982,1742600
2013-09-12,299.39,302.0,297.661,14.943,1606200
2013-09-13,300.14,300.22,296.201,14.896,1350600
2013-09-16,299.82,301.0,295.26,14.803,1808400
2013-09-17,297.63,304.65,296.0101,15.2085,2296500
2013-09-18,304.06,312.74,302.91,15.6017,2946400
2013-09-19,313.77,314.54,311.04,15.603,2350900
2013-09-20,312.54,320.57,312.41,15.817,5302300
2013-09-23,314.01,315.9,308.771,15.5745,1884900
2013-09-24,312.43,318.0799,311.28,15.7065,2033600
2013-09-25,314.53,316.71,310.75,15.6325,2008600
2013-09-26,313.9,319.37,313.26,15.906,1989900
2013-09-27,316.92,317.21,313.35,15.8005,1657500
2013-09-30,313.41,315.31,311.06,15.632,1623600
2013-10-01,314.22,321.0,313.65,16.0475,2396400
2013-10-02,318.04,321.73,317.52,16.0255,2217400
2013-10-03,320.39,322.92,313.02,15.738,2674800
2013-10-04,315.13,319.2,312.62,15.952,1815000
2013-10-07,315.24,315.3399,309.74,15.5015,2083200
2013-10-08,311.5,311.545,300.27,15.1615,3166200
2013-10-09,303.42,303.4978,296.5025,14.9115,3247400
2013-10-10,304.63,306.7,302.5901,15.2587,2555100
2013-10-11,304.77,310.93,303.84,15.54445,2163100
2013-10-14,309.22,311.645,307.0,15.535,1939100
2013-10-15,309.87,310.79,305.26,15.32,2261100
2013-10-16,308.38,310.8,305.554,15.5245,2170700
2013-10-17,307.07,311.0,305.24,15.5385,2648400
2013-10-18,319.36,331.89,316.75,16.44655,5969800
2013-10-21,329.89,330.0,323.8,16.322,2522300
2013-10-22,327.72,337.11,325.68,16.627,3935500
2013-10-23,330.84,331.72,324.0601,16.3378,2818200
2013-10-24,329.63,332.6499,326.75,16.6105,5884700
2013-10-25,358.6,368.4,352.62,18.1695,12036800
2013-10-28,359.92,362.75,357.2,17.908,3635800
2013-10-29,358.96,362.89,356.29,18.135,2185400
2013-10-30,362.62,365.0,358.65,18.054,4502200
2013-10-31,361.73,366.0,359.0,18.2015,2466800
2013-11-01,365.63,365.77,356.1,17.9501,3331000
2013-11-04,360.12,361.0,354.4,17.937,1938400
2013-11-05,356.78,360.17,354.84,17.9446,2007100
2013-11-06,360.45,362.87,354.5,17.809,2282300
2013-11-07,355.86,357.9,341.88,17.178,4246300
2013-11-08,345.95,351.05,344.04,17.5155,2656900
2013-11-11,350.59,355.37,348.06,17.7189,2261700
2013-11-12,352.99,355.4826,347.282,17.4765,2343100
2013-11-13,347.4,356.22,345.68,17.811,2773300
2013-11-14,357.39,368.94,356.43,18.3698,4159800
2013-11-15,367.63,372.9,365.55,18.4585,4491600
2013-11-18,370.28,373.49,364.67,18.309,2737400
2013-11-19,365.82,368.78,362.5,18.247,1904800
2013-11-20,367.56,367.56,360.45,18.1285,1771500
2013-11-21,364.05,369.25,363.3,18.446,1964600
2013-11-22,370.0,374.5,366.31,18.6155,2965500
2013-11-25,373.82,377.79,373.18,18.832,2972300
2013-11-26,377.61,382.5,374.8175,19.0685,2724400
2013-11-27,383.5,387.0,382.611,19.3355,2269700
2013-11-29,389.1,394.0999,388.62,19.681,2406000
2013-12-02,399.0,399.0,389.1,19.615,4714000
2013-12-03,390.11,390.949,383.1,19.233,3702900
2013-12-04,383.5,389.69,381.4914,19.298,2355300
2013-12-05,386.65,386.65,381.371,19.2245,1906500
2013-12-06,388.35,388.35,383.83,19.3475,1984700
2013-12-09,388.11,388.21,382.57,19.2445,2761800
2013-12-10,383.74,389.06,383.02,19.389,2736800
2013-12-11,387.34,388.98,382.0,19.1095,2451300
2013-12-12,381.26,385.0,379.5,19.0625,2123700
2013-12-13,385.32,389.42,383.8,19.212,3025000
2013-12-16,385.03,391.7,385.0,19.4485,2251700
2013-12-17,390.65,391.36,386.5,19.3825,2343900
2013-12-18,389.23,396.3,383.1,19.798,3489100
2013-12-19,394.27,397.29,392.6,19.7595,2427200
2013-12-20,396.55,404.72,395.78,20.11,5033900
2013-12-23,403.69,405.0,399.2,20.146,2659500
2013-12-24,402.52,403.7249,396.37,19.96,1380400
2013-12-26,401.79,404.52,396.81,20.2195,1868500
2013-12-27,404.65,405.63,396.25,19.904,1986900
2013-12-30,399.41,399.92,392.45,19.6685,2487100
2013-12-31,394.58,398.83,393.8,19.9395,1996500
2014-01-02,398.8,399.36,394.02,19.8985,2137800
